"maturity","coupon","pbid","pask","team"
2047-02-15,0.03,82.702,82.977,1
2047-05-15,0.03,81.925,82.188,2
2047-08-15,0.0275,78.78,79.075,3
2047-11-15,0.0275,78.049,78.321,4
2048-02-15,0.03,82.5,82.813,5
2048-05-15,0.03125,83.599,83.933,6
2048-08-15,0.03,82.431,82.727,7
2048-11-15,0.03375,87.496,87.809,8
2049-02-15,0.03,82.447,82.744,9
2049-05-15,0.02875,79.777,80.083,10
2049-08-15,0.0225,70.614,70.815,11
2049-11-15,0.02375,71.958,72.241,12
2050-02-15,0.02,66.491,66.74,13
2050-05-15,0.0125,53.974,54.147,14
2050-08-15,0.01375,56.159,56.336,15
2050-11-15,0.01625,59.702,59.891,16
2051-02-15,0.01875,64.131,64.364,17
2051-05-15,0.02375,71.676,71.94,18
2051-11-15,0.01875,63.443,63.686,19
2052-02-15,0.0225,70.239,70.471,20
2052-05-15,0.02875,80.03,80.33,21
2052-08-15,0.03,82.937,83.269,22
2052-11-15,0.04,99.232,99.654,23
2053-02-15,0.03625,93.742,94.109,24
2053-05-15,0.03625,92.968,93.39,25
2053-08-15,0.04125,102.686,103.141,26
