"type","maturity","pbid","pask"
"ci",2024-02-15,99.138,99.165
"ci",2024-05-15,97.889,97.917
"ci",2024-08-15,96.77,96.803
"ci",2024-11-15,95.956,96.013
"ci",2025-02-15,94.811,94.879
"ci",2025-05-15,93.756,93.847
"ci",2025-08-15,92.856,92.965
"ci",2025-11-15,91.954,92.033
"ci",2026-02-15,91.082,91.168
"ci",2026-05-15,90.275,90.371
"ci",2026-08-15,89.504,89.595
"ci",2026-11-15,88.708,88.81
"ci",2027-02-15,87.841,87.991
"ci",2027-05-15,87.083,87.2
"ci",2027-08-15,86.23,86.417
"ci",2027-11-15,85.503,85.615
"ci",2028-02-15,84.66,84.803
"ci",2028-05-15,83.858,83.983
"ci",2028-08-15,83.116,83.255
"ci",2028-11-15,82.305,82.441
"ci",2029-02-15,81.496,81.643
"ci",2029-05-15,80.715,80.861
"ci",2029-08-15,79.835,79.99
"ci",2029-11-15,79.111,79.268
"ci",2030-02-15,78.279,78.468
"ci",2030-05-15,77.473,77.669
"ci",2030-08-15,76.697,76.88
"ci",2030-11-15,75.975,76.139
"ci",2031-02-15,75.265,75.432
"ci",2031-05-15,74.469,74.643
"ci",2031-08-15,73.65,73.819
"ci",2031-11-15,72.907,73.106
"ci",2032-02-15,72.107,72.337
"ci",2032-05-15,71.35,71.568
"ci",2032-08-15,70.555,70.767
"ci",2032-11-15,69.802,70.025
"ci",2033-02-15,68.978,69.202
"ci",2033-05-15,68.204,68.406
"ci",2033-08-15,67.451,67.685
"ci",2033-11-15,66.735,66.995
"ci",2034-02-15,66.032,66.247
"ci",2034-05-15,65.224,65.475
"ci",2034-08-15,64.486,64.763
"ci",2034-11-15,63.771,64.054
"ci",2035-02-15,63.072,63.326
"ci",2035-05-15,62.334,62.6
"ci",2035-08-15,61.599,61.888
"ci",2035-11-15,60.883,61.164
"ci",2036-02-15,60.239,60.448
"ci",2036-05-15,59.573,59.828
"ci",2036-08-15,58.935,59.203
"ci",2036-11-15,58.282,58.577
"ci",2037-02-15,57.625,57.879
"ci",2037-05-15,56.97,57.208
"ci",2037-08-15,56.387,56.651
