"maturity","price"
"2023-02-15",99.331
"2023-05-15",98.219
"2023-08-15",97.0025
"2023-11-15",95.835
"2024-02-15",94.818
"2024-05-15",93.845
"2024-08-15",92.9385
"2024-11-15",92.1025
"2025-02-15",91.23
"2025-05-15",90.4385
"2025-08-15",89.6795
"2025-11-15",88.8615
"2026-02-15",88.03
"2026-05-15",87.161
"2026-08-15",86.3595
"2026-11-15",85.672
"2027-02-15",84.883
"2027-05-15",84.1055
"2027-08-15",83.365
"2027-11-15",82.681
"2028-02-15",81.919
"2028-05-15",81.184
"2028-08-15",80.366
"2028-11-15",79.5945
"2029-02-15",78.903
"2029-05-15",78.2595
"2029-08-15",77.481
"2029-11-15",76.8405
"2030-02-15",76.1795
"2030-05-15",75.471
"2030-08-15",74.8355
"2030-11-15",74.2335
"2031-02-15",73.6075
"2031-05-15",72.9015
"2031-08-15",72.267
"2031-11-15",71.5595
"2032-02-15",70.8715
"2032-05-15",70.1885
"2032-08-15",69.453
"2032-11-15",68.726
"2033-02-15",68.111
"2033-05-15",67.424
"2033-08-15",66.7415
"2033-11-15",66.146
"2034-02-15",65.348
"2034-05-15",64.802
"2034-08-15",64.1485
"2034-11-15",63.6035
"2035-02-15",62.8405
"2035-05-15",62.3775
"2035-08-15",61.484
"2035-11-15",61.192
"2036-02-15",60.612
"2036-05-15",60.0595
"2036-08-15",59.4295
"2036-11-15",58.866
"2037-02-15",58.3375
"2037-05-15",57.7465
"2037-08-15",57.226
"2037-11-15",56.6005
"2038-02-15",56.063
"2038-05-15",55.5855
"2038-08-15",54.9845
"2038-11-15",54.42
"2039-02-15",53.8835
"2039-05-15",53.375
"2039-08-15",52.917
"2039-11-15",52.3745
"2040-02-15",51.712
"2040-05-15",51.119
"2040-08-15",50.3935
"2040-11-15",49.748
"2041-02-15",49.252
"2041-05-15",48.629
"2041-08-15",47.9805
"2041-11-15",47.3605
"2042-02-15",46.7695
"2042-05-15",46.1055
"2042-08-15",45.6895
"2042-11-15",45.2255
"2043-02-15",44.849
"2043-05-15",44.4055
"2043-08-15",43.94
"2043-11-15",43.701
"2044-02-15",43.3205
"2044-05-15",42.9785
"2044-08-15",42.6335
"2044-11-15",42.2885
"2045-02-15",41.98
"2045-05-15",41.6455
"2045-08-15",41.323
"2045-11-15",40.971
"2046-02-15",40.6065
"2046-05-15",40.2955
"2046-08-15",39.962
"2046-11-15",39.7095
"2047-02-15",39.319
"2047-05-15",39.129
"2047-08-15",38.909
"2047-11-15",38.685
"2048-02-15",38.413
"2048-05-15",38.202
"2048-08-15",38.0735
"2048-11-15",37.977
"2049-02-15",37.872
"2049-05-15",37.829
"2049-08-15",37.5635
"2049-11-15",37.327
"2050-02-15",37.225
"2050-05-15",37.129
"2050-08-15",36.933
"2050-11-15",36.8325
"2051-02-15",36.753
"2051-05-15",36.5035
"2051-08-15",36.4485
"2051-11-15",36.2595
"2052-02-15",36.183
"2052-05-15",35.955
"2052-08-15",36.091
"2052-11-15",36.542
