"maturity","price"
"2023-02-15",99.31
"2023-05-15",98.155
"2023-08-15",97.011
"2023-11-15",95.8125
"2024-02-15",94.6615
"2024-05-15",93.692
"2024-08-15",92.755
"2024-11-15",92.128
"2025-02-15",91.101
"2025-05-15",90.335
"2025-08-15",89.506
"2025-11-15",88.7585
"2026-02-15",88.026
"2026-05-15",87.1845
"2026-08-15",86.5385
"2026-11-15",85.778
"2027-02-15",84.9195
"2027-05-15",84.3475
"2027-08-15",83.5595
"2027-11-15",82.973
"2028-02-15",82.217
"2028-05-15",81.4385
"2028-08-15",80.5965
"2028-11-15",79.791
"2029-02-15",79.1335
"2029-08-15",77.965
"2030-05-15",76.2235
"2031-02-15",74.507
"2036-02-15",64.2325
"2037-02-15",61.8085
"2037-05-15",60.8985
"2038-02-15",59.1335
"2038-05-15",58.556
"2039-02-15",56.1875
"2039-05-15",55.9095
"2039-08-15",55.49
"2039-11-15",54.626
"2040-02-15",54.3035
"2040-05-15",53.3235
"2040-08-15",52.304
"2040-11-15",51.9
"2041-02-15",51.7505
"2041-05-15",50.871
"2041-08-15",49.6635
"2041-11-15",48.6735
"2042-02-15",48.195
"2042-05-15",47.468
"2042-08-15",46.74
"2042-11-15",46.2535
"2043-02-15",46.0205
"2043-05-15",45.505
"2043-08-15",45.38
"2043-11-15",45.0015
"2044-02-15",44.551
"2044-05-15",44.0125
"2044-08-15",43.5715
"2044-11-15",43.231
"2045-02-15",42.91
"2045-05-15",42.5345
"2045-08-15",42.177
"2045-11-15",41.957
"2046-02-15",41.6035
"2046-05-15",41.228
"2046-08-15",40.9445
"2046-11-15",40.7935
"2047-02-15",40.4285
"2047-05-15",40.217
"2047-08-15",40.0455
"2047-11-15",39.8335
"2048-02-15",39.684
"2048-05-15",39.5585
"2048-08-15",39.3515
"2048-11-15",39.4465
"2049-02-15",39.327
"2049-05-15",39.1155
"2049-08-15",38.719
"2049-11-15",38.6185
"2050-02-15",38.2035
"2050-05-15",37.8075
"2050-08-15",37.5135
"2050-11-15",37.3885
"2051-02-15",37.196
"2051-05-15",37.001
"2051-08-15",36.722
"2051-11-15",36.488
"2052-02-15",36.3515
"2052-05-15",36.3585
"2052-08-15",36.4275
"2052-11-15",36.963
