"maturity","price"
2024-02-15,99.4925
2024-05-15,98.227
2024-08-15,97.099
2024-11-15,96.2885
2025-02-15,95.1355
2025-05-15,94.075
2025-08-15,93.2505
2025-11-15,92.2405
2026-02-15,91.3145
2026-05-15,90.4875
2026-08-15,89.662
2026-11-15,88.884
2027-02-15,88.043
2027-05-15,87.2525
2027-08-15,86.387
2027-11-15,85.6285
2028-02-15,84.796
2028-05-15,83.991
2028-08-15,83.2035
2028-11-15,82.3965
2029-02-15,81.6315
2029-05-15,80.76
2029-08-15,79.8705
2029-11-15,79.0825
2030-02-15,78.2285
2030-05-15,77.409
2030-08-15,76.6145
2030-11-15,75.886
2031-02-15,75.1525
2031-05-15,74.3345
2031-08-15,73.5335
2031-11-15,72.7975
2032-02-15,72.0215
2032-05-15,71.2385
2032-08-15,70.427
2032-11-15,69.6745
2033-02-15,68.864
2033-05-15,68.0775
2033-08-15,67.3405
2033-11-15,66.6005
2034-02-15,65.8655
2034-05-15,65.1385
2034-08-15,64.387
2034-11-15,63.657
2035-02-15,62.9405
2035-05-15,62.219
2035-08-15,61.5175
2035-11-15,60.7895
2036-02-15,60.088
2036-05-15,59.421
2036-08-15,58.7515
2036-11-15,58.1185
2037-02-15,57.4155
2037-05-15,56.7275
2037-08-15,56.0755
2037-11-15,55.3945
2038-02-15,54.687
2038-05-15,53.9965
2038-08-15,53.3595
2038-11-15,52.669
2039-02-15,51.982
2039-05-15,51.289
2039-08-15,50.584
2039-11-15,49.9265
2040-02-15,49.219
2040-05-15,48.5745
2040-08-15,47.9025
2040-11-15,47.23
2041-02-15,46.6865
2041-05-15,46.029
2041-08-15,45.3895
2041-11-15,44.803
2042-02-15,44.341
2042-05-15,43.79
2042-08-15,43.207
2042-11-15,42.7365
2043-02-15,42.236
2043-05-15,41.8055
2043-08-15,41.34
2043-11-15,40.9205
2044-02-15,40.4005
2044-05-15,40.046
2044-08-15,39.607
2044-11-15,39.096
2045-02-15,38.683
2045-05-15,38.3205
2045-08-15,37.897
2045-11-15,37.4655
2046-02-15,37.024
2046-05-15,36.626
2046-08-15,36.221
2046-11-15,35.831
2047-02-15,35.5045
2047-05-15,35.135
2047-08-15,34.8015
2047-11-15,34.4275
2048-02-15,34.079
2048-05-15,33.767
2048-08-15,33.4945
2048-11-15,33.2065
2049-02-15,32.9835
2049-05-15,32.6785
2049-08-15,32.494
2049-11-15,32.2655
2050-02-15,32.0765
2050-05-15,31.903
2050-08-15,31.7015
2050-11-15,31.4705
2051-02-15,31.2955
2051-05-15,31.063
2051-08-15,30.963
2051-11-15,30.908
2052-02-15,30.797
2052-05-15,30.7505
2052-08-15,30.7645
2052-11-15,30.7355
2053-02-15,30.595
2053-05-15,30.4195
2053-08-15,30.2075
