MMY,StartDt,MatDt,SettlePrice
202312,2023-12-20,2024-03-20,94.635
202403,2024-03-20,2024-06-20,94.915
202406,2024-06-20,2024-09-18,95.335
202409,2024-09-18,2024-12-18,95.725
202412,2024-12-18,2025-03-19,96.07
202503,2025-03-19,2025-06-18,96.36
202506,2025-06-18,2025-09-17,96.56
202509,2025-09-17,2025-12-17,96.675
202512,2025-12-17,2026-03-18,96.71
202603,2026-03-18,2026-06-17,96.705
202606,2026-06-17,2026-09-16,96.685
202609,2026-09-16,2026-12-16,96.67
202612,2026-12-16,2027-03-17,96.655
202703,2027-03-17,2027-06-16,96.635
202706,2027-06-16,2027-09-15,96.61
202709,2027-09-15,2027-12-15,96.58
202712,2027-12-15,2028-03-15,96.55
202803,2028-03-15,2028-06-21,96.52
202806,2028-06-21,2028-09-20,96.48
202809,2028-09-20,2028-12-20,96.435
202812,2028-12-20,2029-03-21,96.395
202903,2029-03-21,2029-06-20,96.36
202906,2029-06-20,2029-09-19,96.325
202909,2029-09-19,2029-12-19,96.29
202912,2029-12-19,2030-03-20,96.26
203003,2030-03-20,2030-06-20,96.235
203006,2030-06-20,2030-09-18,96.215
203009,2030-09-18,2030-12-18,96.2
203012,2030-12-18,2031-03-19,96.19
203103,2031-03-19,2031-06-18,96.18
203106,2031-06-18,2031-09-17,96.175
203109,2031-09-17,2031-12-17,96.175
203112,2031-12-17,2032-03-17,96.175
203203,2032-03-17,2032-06-16,96.16
203206,2032-06-16,2032-09-15,96.175
203209,2032-09-15,2032-12-15,96.195
203212,2032-12-15,2033-03-16,96.185
203303,2033-03-16,2033-06-15,96.195
203306,2033-06-15,2033-09-21,96.195
