"maturity","price"
2024-02-15,99.1515
2024-05-15,97.903
2024-08-15,96.7865
2024-11-15,95.9845
2025-02-15,94.845
2025-05-15,93.8015
2025-08-15,92.9105
2025-11-15,91.9935
2026-02-15,91.125
2026-05-15,90.323
2026-08-15,89.5495
2026-11-15,88.759
2027-02-15,87.916
2027-05-15,87.1415
2027-08-15,86.3235
2027-11-15,85.559
2028-02-15,84.7315
2028-05-15,83.9205
2028-08-15,83.1855
2028-11-15,82.373
2029-02-15,81.5695
2029-05-15,80.788
2029-08-15,79.9125
2029-11-15,79.1895
2030-02-15,78.3735
2030-05-15,77.571
2030-08-15,76.7885
2030-11-15,76.057
2031-02-15,75.3485
2031-05-15,74.556
2031-08-15,73.7345
2031-11-15,73.0065
2032-02-15,72.222
2032-05-15,71.459
2032-08-15,70.661
2032-11-15,69.9135
2033-02-15,69.09
2033-05-15,68.305
2033-08-15,67.568
2033-11-15,66.865
2034-02-15,66.1395
2034-05-15,65.3495
2034-08-15,64.6245
2034-11-15,63.9125
2035-02-15,63.199
2035-05-15,62.467
2035-08-15,61.7435
2035-11-15,61.0235
2036-02-15,60.3435
2036-05-15,59.7005
2036-08-15,59.069
2036-11-15,58.4295
2037-02-15,57.752
2037-05-15,57.089
2037-08-15,56.519
2037-11-15,55.839
2038-02-15,55.127
2038-05-15,54.4125
2038-08-15,53.7165
2038-11-15,53.044
2039-02-15,52.3455
2039-05-15,51.659
2039-08-15,51.0555
2039-11-15,50.3285
2040-02-15,49.7545
2040-05-15,49.062
2040-08-15,48.3655
2040-11-15,47.6555
2041-02-15,47.0755
2041-05-15,46.5315
2041-08-15,45.9065
2041-11-15,45.451
2042-02-15,44.882
2042-05-15,44.321
2042-08-15,43.805
2042-11-15,43.3435
2043-02-15,42.8995
2043-05-15,42.3975
2043-08-15,41.717
2043-11-15,41.486
2044-02-15,41.048
2044-05-15,40.6865
2044-08-15,40.2315
2044-11-15,39.8195
2045-02-15,39.3785
2045-05-15,38.9985
2045-08-15,38.6035
2045-11-15,38.208
2046-02-15,37.825
2046-05-15,37.406
2046-08-15,37.046
2046-11-15,36.624
2047-02-15,36.364
2047-05-15,35.95
2047-08-15,35.6605
2047-11-15,35.307
2048-02-15,35.002
2048-05-15,34.687
2048-08-15,34.4365
2048-11-15,34.148
2049-02-15,33.941
2049-05-15,33.6715
2049-08-15,33.4885
2049-11-15,33.281
2050-02-15,33.118
2050-05-15,32.9815
2050-08-15,32.764
2050-11-15,32.587
2051-02-15,32.395
2051-05-15,32.1675
2051-08-15,32.126
2051-11-15,32.1005
2052-02-15,31.9565
2052-05-15,32.011
2052-08-15,31.995
2052-11-15,32.0815
2053-02-15,31.882
2053-05-15,31.755
2053-08-15,31.65
