"maturity","price"
2024-02-15,99.139
2024-05-15,97.721
2024-08-15,96.766
2024-11-15,96.053
2025-02-15,94.722
2025-02-15,95.023
2025-05-15,93.7105
2025-08-15,92.9315
2025-11-15,92.0875
2026-02-15,91.174
2026-05-15,90.4145
2026-08-15,89.634
2026-11-15,88.851
2027-02-15,88.0925
2027-05-15,87.2135
2027-08-15,86.4165
2027-11-15,85.7735
2028-02-15,84.865
2028-05-15,84.05
2028-08-15,83.4855
2028-11-15,82.579
2029-02-15,81.702
2029-08-15,80.152
2030-05-15,77.96
2030-11-15,76.5955
2031-02-15,76.1325
2036-02-15,63.3355
2037-02-15,60.866
2037-05-15,60.0115
2038-02-15,57.765
2038-05-15,56.922
2039-02-15,54.703
2039-05-15,54.0075
2039-08-15,53.3915
2039-11-15,52.6475
2040-02-15,52.1615
2040-05-15,51.227
2040-08-15,50.4395
2040-11-15,49.867
2041-02-15,49.4585
2041-05-15,48.7015
2041-08-15,47.9955
2041-11-15,47.2985
2042-02-15,46.6875
2042-05-15,45.971
2042-05-15,46.0605
2042-08-15,45.4005
2042-11-15,44.8465
2043-02-15,44.365
2043-05-15,43.899
2043-08-15,43.4515
2043-11-15,42.7605
2044-02-15,42.528
2044-05-15,42.0515
2044-08-15,41.6185
2044-11-15,41.164
2045-02-15,40.768
2045-05-15,40.3175
2045-08-15,39.899
2045-11-15,39.4935
2046-02-15,19.192
2046-05-15,38.703
2046-08-15,38.3415
2046-11-15,38.0155
2047-02-15,37.5895
2047-05-15,37.2905
2047-08-15,36.9585
2047-11-15,36.6715
2048-02-15,36.3485
2048-05-15,36.024
2048-08-15,35.756
2048-11-15,35.528
2049-02-15,35.242
2049-05-15,35.051
2049-08-15,34.832
2049-11-15,34.628
2050-02-15,34.39
2050-05-15,34.1305
2050-08-15,33.8635
2050-11-15,33.634
2051-02-15,33.4125
2051-05-15,33.1665
2051-08-15,15.955
2051-11-15,32.7795
2052-02-15,32.6485
2052-05-15,32.5045
2052-08-15,32.329
2052-11-15,32.4465
2053-02-15,32.0175
2053-05-15,31.885
2053-08-15,31.8125
