maturity,pbid,pask
2020-02-15,99.867,99.879
2020-05-15,99.454,99.485
2020-08-15,99.043,99.118
2020-11-15,98.654,98.729
2021-02-15,98.242,98.351
2021-05-15,97.873,97.975
2021-08-15,97.449,97.557
2021-11-15,97.053,97.191
2022-02-15,96.673,96.791
2022-05-15,96.28,96.416
2022-08-15,95.868,96.027
2022-11-15,95.495,95.66
2023-02-15,95.096,95.259
2023-05-15,94.649,94.837
2023-08-15,94.2,94.388
2023-11-15,93.765,93.963
2024-02-15,93.324,93.551
2024-05-15,92.94,93.089
2024-08-15,92.466,92.693
2024-11-15,92.035,92.28
2025-02-15,91.596,91.827
2025-05-15,91.168,91.378
2025-08-15,90.71,90.955
2025-11-15,90.201,90.491
2026-02-15,89.773,89.979
2026-05-15,89.273,89.535
2026-08-15,88.807,89.06
2026-11-15,88.353,88.668
2027-02-15,87.874,88.19
2027-05-15,87.374,87.728
2027-08-15,86.944,87.253
2027-11-15,86.407,86.772
2028-02-15,85.872,86.248
2028-05-15,85.443,85.753
2028-08-15,84.9,85.292
2028-11-15,84.404,84.817
2029-02-15,83.958,84.265
2029-05-15,83.443,83.88
2029-08-15,82.965,83.434
2029-11-15,82.547,82.89
2030-02-15,82.061,82.428
2030-05-15,81.539,81.989
2030-08-15,81.014,81.449
2030-11-15,80.504,80.97
2031-02-15,80.026,80.508
2031-05-15,79.495,79.982
2031-08-15,78.978,79.471
2031-11-15,78.457,78.941
2032-02-15,77.937,78.441
2032-05-15,77.436,77.945
2032-08-15,76.94,77.452
2032-11-15,76.427,76.964
2033-02-15,75.996,76.521
2033-05-15,75.532,76.003
2033-08-15,74.963,75.464
2033-11-15,74.512,74.953
2034-02-15,73.941,74.495
2034-05-15,73.52,74.014
2034-08-15,72.923,73.458
2034-11-15,72.5,73.014
2035-02-15,71.902,72.473
2035-05-15,71.457,72.024
2035-08-15,70.947,71.526
2035-11-15,70.483,71.039
2036-02-15,70.054,70.623
2036-05-15,69.586,70.178
2036-08-15,69.086,69.681
2036-11-15,68.619,69.177
2037-02-15,68.177,68.729
2037-05-15,67.776,68.347
2037-08-15,67.312,67.895
2037-11-15,66.9,67.487
2038-02-15,66.417,67.035
2038-05-15,65.914,66.471
2038-08-15,65.441,66.014
2038-11-15,65.044,65.609
2039-02-15,64.56,65.19
2039-05-15,64.114,64.697
2039-08-15,63.776,64.406
2039-11-15,63.172,63.772
2040-02-15,62.698,63.299
2040-05-15,62.237,62.878
2040-08-15,61.759,62.378
2040-11-15,61.338,61.922
2041-02-15,60.888,61.493
2041-05-15,60.444,61.058
2041-08-15,60.048,60.735
2041-11-15,59.606,60.173
2042-02-15,59.187,59.804
2042-05-15,58.761,59.4
2042-08-15,58.332,58.966
2042-11-15,57.935,58.631
2043-02-15,57.548,58.273
2043-05-15,57.142,57.935
2043-08-15,56.771,57.494
2043-11-15,56.421,57.194
2044-02-15,56.067,56.775
2044-05-15,55.653,56.351
2044-08-15,55.33,56.004
2044-11-15,54.989,55.664
2045-02-15,54.684,55.4
2045-05-15,54.315,55.008
2045-08-15,54.004,54.881
2045-11-15,53.723,54.423
2046-02-15,53.439,54.247
2046-05-15,53.121,53.925
2046-08-15,52.858,53.705
2046-11-15,52.652,53.295
2047-02-15,52.268,52.981
2047-05-15,51.956,52.919
2047-08-15,51.739,52.679
2047-11-15,51.433,52.461
2048-02-15,51.156,52.102
2048-05-15,50.887,51.846
2048-08-15,50.649,51.573
2048-11-15,50.557,51.366
2049-02-15,50.122,51.097
